name, url, categories
'Jenkins', 'https://github.com/jenkinsci/jenkins', ['Continuous Delivery']
'JHipster', 'https://github.com/jhipster/generator-jhipster', ['App Dev']
'Jina', 'https://github.com/jina-ai/jina', ['Deep Learning / ML / AI']
'Jitsi', 'https://github.com/jitsi/jitsi-meet', ['Video Conferencing']
'Jooma! CMS', 'https://github.com/joomla/joomla-cms', ['Content Management System (CMS)']
'Joplin', 'https://github.com/laurent22/joplin', ['Productivity']
'jQuery', 'https://github.com/jquery/jquery', ['Javascript Library']
'Julia', 'https://github.com/JuliaLang/julia', ['Programming Language']
'JUnit', 'https://github.com/junit-team/junit5', ['Test Automation']
'Jupyter Notebook', 'https://github.com/jupyter/notebook', ['Web-Based Computing']
'K3s', 'https://github.com/k3s-io/k3s', ['Container Management']
'k6', 'https://github.com/grafana/k6', ['Testing']
'kafka-stack-docker-compose', 'https://github.com/conduktor/kafka-stack-docker-compose', ['Event Streaming Platform']
'kaniko', 'https://github.com/GoogleContainerTools/kaniko', ['Build Automation']
'Karapace', 'https://github.com/aiven/karapace', ['OSS Extensions']
'Karate', 'https://github.com/karatelabs/karate', ['Test Automation']
'Kata Containers V1', 'https://github.com/kata-containers/runtime', ['Container Runtime']
'Kata Containers V2', 'https://github.com/kata-containers/kata-containers', ['Container Runtime']
'KDE', 'https://github.com/gentoo/kde', ['Operating System']
'Kedro', 'https://github.com/kedro-org/kedro', ['Batch Processing']
'Keras', 'https://github.com/keras-team/keras', ['Deep Learning / ML / AI']
'Kestra', 'https://github.com/kestra-io/kestra', ['Workflow Orchestration', 'Batch Processing', 'Stream Processing']
'Keycloak', 'https://github.com/keycloak/keycloak', ['Auth']
'kind-of', 'http://github.com/jonschlinkert/kind-of', ['Javascript Library']
'kind', 'https://github.com/kubernetes-sigs/kind', ['Container Runtime']
'Knative Serving', 'https://github.com/knative/serving', ['Serverless']
'Kodi', 'https://github.com/xbmc/xbmc', ['Media Server']
'Kong', 'https://github.com/Kong/kong', ['Gateway']
'kOps', 'https://github.com/kubernetes/kops', ['Kubernetes Management']
'Kotlin', 'https://github.com/JetBrains/kotlin', ['Programming Language']
'Kraken', 'https://github.com/uber/kraken', ['Container Registry']
'kratos', 'https://github.com/go-kratos/kratos', ['RPC Framework']
'Kredis', 'https://github.com/rails/kredis', ['Database']
'Krita', 'https://github.com/KDE/krita', ['Digital Painting']
'KubeCost', 'https://github.com/kubecost/cost-model', ['Cost Allocation']
'KubeEdge', 'https://github.com/kubeedge/kubeedge', ['Container Management']
'Kubeflow', 'https://github.com/kubeflow/kubeflow', ['Batch Processing']
'Kubernetes', 'https://github.com/kubernetes/kubernetes', ['Container Management']
'KubeSphere', 'https://github.com/kubesphere/kubesphere', ['Container System']
'Kubespray', 'https://github.com/kubernetes-sigs/kubespray', ['Container Management']
'Laravel Core Framework', 'https://github.com/laravel/framework', ['App Dev']
'Laravel', 'https://github.com/laravel/laravel', ['App Dev']
'libgit2', 'https://github.com/libgit2/libgit2', ['C Library']
'LibreOffice', 'https://github.com/LibreOffice/core', ['Integrated Office Suite']
'LibreSprite', 'https://github.com/LibreSprite/LibreSprite', ['Sprite Editor']
'Linkerd', 'https://github.com/linkerd/linkerd2', ['Service Mesh']
'LinShare', 'https://github.com/linagora/linshare', ['Productivity']
'Linux', 'https://github.com/torvalds/linux', ['Operating System', 'Linux Distribution']
'LinuxKit', 'https://github.com/linuxkit/linuxkit', ['Linux Distribution']
'Listmonk', 'https://github.com/knadh/listmonk', ['Newsletter Manager']
'LittleLink', 'https://github.com/sethcottle/littlelink', ['Link Page']
'LLVM', 'https://github.com/llvm/llvm-project', ['Compiler']
'lodash', 'https://github.com/lodash/lodash', ['Javascript Library']
'logback', 'http://github.com/qos-ch/logback', ['Logging']
'Logstash', 'https://github.com/elastic/logstash', ['Logging']
'Lura', 'https://github.com/luraproject/lura', ['Gateway']
'Lurk', 'https://github.com/lurk-lang/lurk-rs', ['Programming Language']
'm3', 'https://github.com/m3db/m3', ['Database']
'Madmin', 'https://github.com/excid3/madmin', ['Rails Admin Interface']
'Magento', 'https://github.com/magento/magento2', ['e-commerce']
'Magma', 'https://github.com/Aleph-Alpha/magma', ['Deep Learning / ML / AI']
